Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Residencia del viajero;Periodo;Total
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Residentes en el Extranjero;2018;4.902.000
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Residentes en España;2022;1.622.000
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Residentes en España;2021;1.665.000
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Residentes en España;2020;1.223.000
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Residentes en España;2019;1.506.000
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Residentes en España;2018;1.285.000
Total Nacional;05 Canarias;35 Palmas, Las;Total ;2022;10.678.000
Total Nacional;05 Canarias;35 Palmas, Las;Total ;2021;6.143.000
Total Nacional;05 Canarias;35 Palmas, Las;Total ;2020;4.396.000
Total Nacional;05 Canarias;35 Palmas, Las;Total ;2019;8.206.000
Total Nacional;05 Canarias;35 Palmas, Las;Total ;2018;8.159.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en el Extranjero;2022;7.705.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en el Extranjero;2021;3.774.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en el Extranjero;2020;2.670.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en el Extranjero;2019;6.104.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en el Extranjero;2018;6.279.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en España;2022;2.973.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en España;2021;2.370.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en España;2020;1.726.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en España;2019;2.101.000
Total Nacional;05 Canarias;35 Palmas, Las;Residentes en España;2018;1.879.000
Total Nacional;04 Balears, Illes;;Total ;2022;9.483.000
Total Nacional;04 Balears, Illes;;Total ;2021;6.157.000
Total Nacional;04 Balears, Illes;;Total ;2020;2.632.000
Total Nacional;04 Balears, Illes;;Total ;2019;8.440.000
Total Nacional;04 Balears, Illes;;Total ;2018;8.132.000
Total Nacional;04 Balears, Illes;;Residentes en el Extranjero;2022;7.926.000
Total Nacional;04 Balears, Illes;;Residentes en el Extranjero;2021;4.527.000
Total Nacional;04 Balears, Illes;;Residentes en el Extranjero;2020;1.632.000
Total Nacional;04 Balears, Illes;;Residentes en el Extranjero;2019;7.357.000
Total Nacional;04 Balears, Illes;;Residentes en el Extranjero;2018;7.073.000
Total Nacional;04 Balears, Illes;;Residentes en España;2022;1.556.000
Total Nacional;04 Balears, Illes;;Residentes en España;2021;1.630.000
Total Nacional;04 Balears, Illes;;Residentes en España;2020;1.000.000
Total Nacional;04 Balears, Illes;;Residentes en España;2019;1.083.000
Total Nacional;04 Balears, Illes;;Residentes en España;2018;1.059.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total ;2022;9.483.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total ;2021;6.157.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total ;2020;2.632.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total ;2019;8.440.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total ;2018;8.132.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en el Extranjero;2022;7.927.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en el Extranjero;2021;4.527.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en el Extranjero;2020;1.633.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en el Extranjero;2019;7.357.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en el Extranjero;2018;7.073.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en España;2022;1.557.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en España;2021;1.630.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en España;2020;1.001.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en España;2019;1.083.000
Total Nacional;04 Balears, Illes;07 Balears, Illes;Residentes en España;2018;1.059.000
Total Nacional;03 Asturias, Principado de;;Total ;2022;1.909.000
Total Nacional;03 Asturias, Principado de;;Total ;2021;1.278.000
Total Nacional;03 Asturias, Principado de;;Total ;2020;908.000
Total Nacional;03 Asturias, Principado de;;Total ;2019;1.310.000
Total Nacional;03 Asturias, Principado de;;Total ;2018;1.021.000
Total Nacional;03 Asturias, Principado de;;Residentes en el Extranjero;2022;326.000
Total Nacional;03 Asturias, Principado de;;Residentes en el Extranjero;2021;121.000
Total Nacional;03 Asturias, Principado de;;Residentes en el Extranjero;2020;67.000
Total Nacional;03 Asturias, Principado de;;Residentes en el Extranjero;2019;236.000
Total Nacional;03 Asturias, Principado de;;Residentes en el Extranjero;2018;204.000
Total Nacional;03 Asturias, Principado de;;Residentes en España;2022;1.584.000
Total Nacional;03 Asturias, Principado de;;Residentes en España;2021;1.157.000
Total Nacional;03 Asturias, Principado de;;Residentes en España;2020;841.000
Total Nacional;03 Asturias, Principado de;;Residentes en España;2019;1.074.000
Total Nacional;03 Asturias, Principado de;;Residentes en España;2018;818.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Total ;2022;1.910.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Total ;2021;1.278.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Total ;2020;908.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Total ;2019;1.310.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Total ;2018;1.021.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en el Extranjero;2022;328.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en el Extranjero;2021;121.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en el Extranjero;2020;67.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en el Extranjero;2019;236.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en el Extranjero;2018;204.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en España;2022;1.582.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en España;2021;1.157.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en España;2020;841.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en España;2019;1.074.000
Total Nacional;03 Asturias, Principado de;33 Asturias;Residentes en España;2018;818.000
Total Nacional;02 Aragón;;Total ;2022;1.580.000
Total Nacional;02 Aragón;;Total ;2021;989.000
Total Nacional;02 Aragón;;Total ;2020;732.000
Total Nacional;02 Aragón;;Total ;2019;1.189.000
Total Nacional;02 Aragón;;Total ;2018;984.000
Total Nacional;02 Aragón;;Residentes en el Extranjero;2022;302.000
Total Nacional;02 Aragón;;Residentes en el Extranjero;2021;128.000
Total Nacional;02 Aragón;;Residentes en el Extranjero;2020;83.000
Total Nacional;02 Aragón;;Residentes en el Extranjero;2019;246.000
Total Nacional;02 Aragón;;Residentes en el Extranjero;2018;203.000
Total Nacional;02 Aragón;;Residentes en España;2022;1.276.000
Total Nacional;02 Aragón;;Residentes en España;2021;860.000
Total Nacional;02 Aragón;;Residentes en España;2020;649.000
Total Nacional;02 Aragón;;Residentes en España;2019;942.000
Total Nacional;02 Aragón;;Residentes en España;2018;781.000
Total Nacional;02 Aragón;50 Zaragoza;Total ;2022;391.000
Total Nacional;02 Aragón;50 Zaragoza;Total ;2021;237.000
Total Nacional;02 Aragón;50 Zaragoza;Total ;2020;154.000
Total Nacional;02 Aragón;50 Zaragoza;Total ;2019;330.000
Total Nacional;02 Aragón;50 Zaragoza;Total ;2018;254.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en el Extranjero;2022;141.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en el Extranjero;2021;64.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en el Extranjero;2020;37.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en el Extranjero;2019;124.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en el Extranjero;2018;95.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en España;2022;251.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en España;2021;173.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en España;2020;117.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en España;2019;207.000
Total Nacional;02 Aragón;50 Zaragoza;Residentes en España;2018;159.000
Total Nacional;02 Aragón;44 Teruel;Total ;2022;301.000
Total Nacional;02 Aragón;44 Teruel;Total ;2021;186.000
Total Nacional;02 Aragón;44 Teruel;Total ;2020;116.000
Total Nacional;02 Aragón;44 Teruel;Total ;2019;211.000
Total Nacional;02 Aragón;44 Teruel;Total ;2018;177.000
Total Nacional;02 Aragón;44 Teruel;Residentes en el Extranjero;2022;37.000
Total Nacional;02 Aragón;44 Teruel;Residentes en el Extranjero;2021;15.000
Total Nacional;02 Aragón;44 Teruel;Residentes en el Extranjero;2020;8.000
Total Nacional;02 Aragón;44 Teruel;Residentes en el Extranjero;2019;25.000
Total Nacional;02 Aragón;44 Teruel;Residentes en el Extranjero;2018;22.000
Total Nacional;02 Aragón;44 Teruel;Residentes en España;2022;264.000
Total Nacional;02 Aragón;44 Teruel;Residentes en España;2021;171.000
Total Nacional;02 Aragón;44 Teruel;Residentes en España;2020;108.000
Total Nacional;02 Aragón;44 Teruel;Residentes en España;2019;186.000
Total Nacional;02 Aragón;44 Teruel;Residentes en España;2018;154.000
Total Nacional;02 Aragón;22 Huesca;Total ;2022;888.000
Total Nacional;02 Aragón;22 Huesca;Total ;2021;565.000
Total Nacional;02 Aragón;22 Huesca;Total ;2020;462.000
Total Nacional;02 Aragón;22 Huesca;Total ;2019;648.000
Total Nacional;02 Aragón;22 Huesca;Total ;2018;553.000
Total Nacional;02 Aragón;22 Huesca;Residentes en el Extranjero;2022;125.000
Total Nacional;02 Aragón;22 Huesca;Residentes en el Extranjero;2021;49.000
Total Nacional;02 Aragón;22 Huesca;Residentes en el Extranjero;2020;38.000
Total Nacional;02 Aragón;22 Huesca;Residentes en el Extranjero;2019;97.000
Total Nacional;02 Aragón;22 Huesca;Residentes en el Extranjero;2018;85.000
Total Nacional;02 Aragón;22 Huesca;Residentes en España;2022;763.000
Total Nacional;02 Aragón;22 Huesca;Residentes en España;2021;516.000
Total Nacional;02 Aragón;22 Huesca;Residentes en España;2020;424.000
Total Nacional;02 Aragón;22 Huesca;Residentes en España;2019;550.000
Total Nacional;02 Aragón;22 Huesca;Residentes en España;2018;467.000
Total Nacional;01 Andalucía;;Total ;2022;28.786.000
Total Nacional;01 Andalucía;;Total ;2021;16.109.000
Total Nacional;01 Andalucía;;Total ;2020;10.286.000
Total Nacional;01 Andalucía;;Total ;2019;24.945.000
Total Nacional;01 Andalucía;;Total ;2018;21.111.000
Total Nacional;01 Andalucía;;Residentes en el Extranjero;2022;16.410.000
Total Nacional;01 Andalucía;;Residentes en el Extranjero;2021;6.674.000
Total Nacional;01 Andalucía;;Residentes en el Extranjero;2020;4.055.000
Total Nacional;01 Andalucía;;Residentes en el Extranjero;2019;15.598.000
Total Nacional;01 Andalucía;;Residentes en el Extranjero;2018;13.317.000
Total Nacional;01 Andalucía;;Residentes en España;2022;12.375.000
Total Nacional;01 Andalucía;;Residentes en España;2021;9.435.000
Total Nacional;01 Andalucía;;Residentes en España;2020;6.231.000
Total Nacional;01 Andalucía;;Residentes en España;2019;9.347.000
Total Nacional;01 Andalucía;;Residentes en España;2018;7.793.000
Total Nacional;01 Andalucía;41 Sevilla;Total ;2022;4.167.000
Total Nacional;01 Andalucía;41 Sevilla;Total ;2021;1.769.000
Total Nacional;01 Andalucía;41 Sevilla;Total ;2020;1.234.000
Total Nacional;01 Andalucía;41 Sevilla;Total ;2019;4.125.000
Total Nacional;01 Andalucía;41 Sevilla;Total ;2018;3.242.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en el Extranjero;2022;2.725.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en el Extranjero;2021;929.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en el Extranjero;2020;701.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en el Extranjero;2019;2.995.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en el Extranjero;2018;2.339.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en España;2022;1.442.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en España;2021;840.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en España;2020;533.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en España;2019;1.130.000
Total Nacional;01 Andalucía;41 Sevilla;Residentes en España;2018;903.000
Total Nacional;01 Andalucía;29 Málaga;Total ;2022;14.318.000
Total Nacional;01 Andalucía;29 Málaga;Total ;2021;7.812.000
Total Nacional;01 Andalucía;29 Málaga;Total ;2020;4.632.000
Total Nacional;01 Andalucía;29 Málaga;Total ;2019;12.088.000
Total Nacional;01 Andalucía;29 Málaga;Total ;2018;10.202.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en el Extranjero;2022;10.305.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en el Extranjero;2021;4.358.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en el Extranjero;2020;2.465.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en el Extranjero;2019;9.148.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en el Extranjero;2018;7.830.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en España;2022;4.013.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en España;2021;3.454.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en España;2020;2.168.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en España;2019;2.940.000
Total Nacional;01 Andalucía;29 Málaga;Residentes en España;2018;2.372.000
Total Nacional;01 Andalucía;23 Jaén;Total ;2022;359.000
Total Nacional;01 Andalucía;23 Jaén;Total ;2021;212.000
Total Nacional;01 Andalucía;23 Jaén;Total ;2020;140.000
Total Nacional;01 Andalucía;23 Jaén;Total ;2019;209.000
Total Nacional;01 Andalucía;23 Jaén;Total ;2018;163.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en el Extranjero;2022;38.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en el Extranjero;2021;14.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en el Extranjero;2020;8.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en el Extranjero;2019;27.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en el Extranjero;2018;24.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en España;2022;321.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en España;2021;198.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en España;2020;132.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en España;2019;182.000
Total Nacional;01 Andalucía;23 Jaén;Residentes en España;2018;139.000
Total Nacional;01 Andalucía;21 Huelva;Total ;2022;730.000
Total Nacional;01 Andalucía;21 Huelva;Total ;2021;549.000
Total Nacional;01 Andalucía;21 Huelva;Total ;2020;370.000
Total Nacional;01 Andalucía;21 Huelva;Total ;2019;589.000
Total Nacional;01 Andalucía;21 Huelva;Total ;2018;538.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en el Extranjero;2022;162.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en el Extranjero;2021;58.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en el Extranjero;2020;38.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en el Extranjero;2019;148.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en el Extranjero;2018;140.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en España;2022;568.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en España;2021;491.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en España;2020;331.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en España;2019;441.000
Total Nacional;01 Andalucía;21 Huelva;Residentes en España;2018;398.000
Total Nacional;01 Andalucía;18 Granada;Total ;2022;2.863.000
Total Nacional;01 Andalucía;18 Granada;Total ;2021;1.512.000
Total Nacional;01 Andalucía;18 Granada;Total ;2020;1.149.000
Total Nacional;01 Andalucía;18 Granada;Total ;2019;2.733.000
Total Nacional;01 Andalucía;18 Granada;Total ;2018;2.424.000
Total Nacional;01 Andalucía;18 Granada;Residentes en el Extranjero;2022;1.273.000
Total Nacional;01 Andalucía;18 Granada;Residentes en el Extranjero;2021;478.000
Total Nacional;01 Andalucía;18 Granada;Residentes en el Extranjero;2020;357.000
Total Nacional;01 Andalucía;18 Granada;Residentes en el Extranjero;2019;1.436.000
Total Nacional;01 Andalucía;18 Granada;Residentes en el Extranjero;2018;1.295.000
Total Nacional;01 Andalucía;18 Granada;Residentes en España;2022;1.590.000
Total Nacional;01 Andalucía;18 Granada;Residentes en España;2021;1.034.000
Total Nacional;01 Andalucía;18 Granada;Residentes en España;2020;792.000
Total Nacional;01 Andalucía;18 Granada;Residentes en España;2019;1.297.000
Total Nacional;01 Andalucía;18 Granada;Residentes en España;2018;1.130.000
Total Nacional;01 Andalucía;14 Córdoba;Total ;2022;906.000
Total Nacional;01 Andalucía;14 Córdoba;Total ;2021;413.000
Total Nacional;01 Andalucía;14 Córdoba;Total ;2020;264.000
Total Nacional;01 Andalucía;14 Córdoba;Total ;2019;791.000
Total Nacional;01 Andalucía;14 Córdoba;Total ;2018;643.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en el Extranjero;2022;344.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en el Extranjero;2021;115.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en el Extranjero;2020;73.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en el Extranjero;2019;353.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en el Extranjero;2018;297.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en España;2022;562.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en España;2021;298.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en España;2020;191.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en España;2019;438.000
Total Nacional;01 Andalucía;14 Córdoba;Residentes en España;2018;347.000
Total Nacional;01 Andalucía;11 Cádiz;Total ;2022;3.842.000
Total Nacional;01 Andalucía;11 Cádiz;Total ;2021;2.628.000
Total Nacional;01 Andalucía;11 Cádiz;Total ;2020;1.747.000
Total Nacional;01 Andalucía;11 Cádiz;Total ;2019;3.072.000
Total Nacional;01 Andalucía;11 Cádiz;Total ;2018;2.655.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en el Extranjero;2022;1.136.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en el Extranjero;2021;537.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en el Extranjero;2020;297.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en el Extranjero;2019;1.099.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en el Extranjero;2018;1.011.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en España;2022;2.706.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en España;2021;2.091.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en España;2020;1.450.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en España;2019;1.973.000
Total Nacional;01 Andalucía;11 Cádiz;Residentes en España;2018;1.644.000
Total Nacional;01 Andalucía;04 Almería;Total ;2022;1.598.000
Total Nacional;01 Andalucía;04 Almería;Total ;2021;1.214.000
Total Nacional;01 Andalucía;04 Almería;Total ;2020;750.000
Total Nacional;01 Andalucía;04 Almería;Total ;2019;1.337.000
Total Nacional;01 Andalucía;04 Almería;Total ;2018;1.243.000
Total Nacional;01 Andalucía;04 Almería;Residentes en el Extranjero;2022;426.000
Total Nacional;01 Andalucía;04 Almería;Residentes en el Extranjero;2021;185.000
Total Nacional;01 Andalucía;04 Almería;Residentes en el Extranjero;2020;116.000
Total Nacional;01 Andalucía;04 Almería;Residentes en el Extranjero;2019;392.000
Total Nacional;01 Andalucía;04 Almería;Residentes en el Extranjero;2018;383.000
Total Nacional;01 Andalucía;04 Almería;Residentes en España;2022;1.172.000
Total Nacional;01 Andalucía;04 Almería;Residentes en España;2021;1.029.000
Total Nacional;01 Andalucía;04 Almería;Residentes en España;2020;633.000
Total Nacional;01 Andalucía;04 Almería;Residentes en España;2019;945.000
Total Nacional;01 Andalucía;04 Almería;Residentes en España;2018;860.000
